species,value,target,compliant
BOD,30.82054061109259,30.0,False
COD,79.71936807281676,125.0,True
TOC,0.43464684175805474,30.0,True
NH4,9.91216696065529,5.0,False
NO3,7.596762775511705,15.0,True
PO4,2.7939075763801724,2.0,False
SS,27.779184171098137,35.0,True
Phenol,1.3092505930438023e-09,0.1,True
Formaldehyde,0.031036293347064554,0.05,True
Glutaraldehyde,0.14229295302828424,0.2,True
Detergent,0.002978792825976254,0.2,True
Oils,1.2202032029848844,2.0,True
Pb,0.039658120740813006,0.05,True
CBZ,5.730869557448246e-11,0.0003,True
DCF,7.419077285741254e-12,0.0002,True
pH,6.882406658396665,7.0,True
